# fmn API schema — the AUTHORED layer (fm-vn6, plan §16.2 / §16.1)
#
# API_SCHEMA.tsv is extracted from the pinned Reference and regenerated by
# scripts/gen_api_schema.py; this file is its human-maintained companion and
# is EDITED BY HAND. Keeping them apart is the point: regenerating the
# bootstrap must never silently discard a ruling, and authoring a ruling must
# never require re-deriving 2276 rows of Reference surface.
#
# The effective schema is the two merged. fmn_conformance::schema is the
# reader; every generator consumes the merged form, so a row added here
# changes generated code and fails the drift gate until the code is
# regenerated. That is the mechanism behind "drift between the front doors is
# a build error" (§16.2).
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON dependency
# anywhere in the reader (the SUITE.lock doctrine).

[meta]
overlay_version	1
ledger_reviewed_digest	44dff7ad5943d2a58121c5e6d755142996e7e23052a9c2da8cc04add8659a7fc

# ---------------------------------------------------------------------------
# [canonical] — Appendix C ruling C-9: public-surface typos.
#
# "canonical names in the schema; exact-name aliases in fmn-python". The Rust
# front door and the docs use the canonical name and ONLY the canonical name;
# fmn-python binds BOTH, so a source-unedited manim scene calling
# `mob.add_event_listner(...)` keeps working while new code reads correctly.
# The alias is never deprecated away: it is the Reference's public surface and
# the product contract is API compatibility (AGENTS.md "Backwards
# Compatibility" names the manim surface as a standing exception to the
# no-shims rule).
#
# The plan's C-9 row names three examples. The extracted schema shows the real
# extent is 26 symbols and 2 parameters — `listner` is systematic across the
# whole event surface, not a one-off. Every one is listed; the count is the
# point, since a partial rename would be worse than none.
#
# reference_symbol	canonical_name	ruling	note
[canonical]
manimlib.event_handler.event_dispatcher:EventDispatcher.add_listner	add_listener	C-9	-
manimlib.constants:GOLD_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest gold shade matching the pinned palette
manimlib.constants:GOLD_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium gold shade matching the pinned palette
manimlib.constants:GOLD_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median gold shade matching the pinned palette
manimlib.constants:GOLD_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark gold shade matching the pinned palette
manimlib.constants:GOLD_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest gold shade matching the pinned palette
manimlib.constants:GREEN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median green color constant alias for GREEN_C
manimlib.constants:GREEN_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest green shade matching the pinned palette
manimlib.constants:GREEN_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium green shade matching the pinned palette
manimlib.constants:GREEN_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median green shade matching the pinned palette
manimlib.constants:GREEN_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark green shade matching the pinned palette
manimlib.constants:GREEN_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest green shade matching the pinned palette
manimlib.constants:GREEN_SCREEN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the chroma-key green color constant #00FF00
manimlib.constants:GREY	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median grey color constant alias for GREY_C
manimlib.constants:GREY_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest grey shade matching the pinned palette
manimlib.constants:GREY_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium grey shade matching the pinned palette
manimlib.constants:GREY_BROWN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the grey-brown color constant matching the pinned palette
manimlib.constants:GREY_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median grey shade matching the pinned palette
manimlib.constants:GREY_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark grey shade matching the pinned palette
manimlib.constants:GREY_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest grey shade matching the pinned palette
manimlib.constants:IN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit direction vector into the screen [0, 0, -1]
manimlib.constants:ITALIC	same	crates/fmn-text/src/lib.rs	crates/fmn-conformance/tests/api_schema.rs	defines the italic font slant constant
manimlib.constants:LARGE_BUFF	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the large 1.0 spacing buffer
manimlib.constants:LEFT	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit leftward direction vector [-1, 0, 0]
manimlib.constants:LEFT_SIDE	improved	BN-07	crates/fmn-python/tests/bridge.py	resolves to the unit LEFT direction per C-16, matching the unit-diagonal UL/UR/DL/DR convention for direction-argument use
manimlib.constants:LIGHT_BROWN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light brown color constant matching the pinned palette
manimlib.constants:LIGHT_PINK	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light pink color constant matching the pinned palette
manimlib.constants:MANIM_COLORS	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	enumerates all standard color palette values in order
manimlib.constants:MAROON	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median maroon color constant alias for MAROON_C
manimlib.constants:MAROON_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest maroon shade matching the pinned palette
manimlib.constants:MAROON_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium maroon shade matching the pinned palette
manimlib.constants:MAROON_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median maroon shade matching the pinned palette
manimlib.constants:MAROON_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark maroon shade matching the pinned palette
manimlib.constants:MAROON_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest maroon shade matching the pinned palette
manimlib.constants:MED_LARGE_BUFF	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the medium-large 0.5 spacing buffer
manimlib.constants:MED_SMALL_BUFF	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the medium-small 0.25 spacing buffer
manimlib.constants:NORMAL	same	crates/fmn-text/src/lib.rs	crates/fmn-conformance/tests/api_schema.rs	defines the normal font weight and style constant
manimlib.constants:NULL_POINTS	same	crates/fmn-mobject/src/lib.rs	crates/fmn-conformance/tests/api_schema.rs	defines the single-point origin array representing null points
manimlib.constants:OBLIQUE	same	crates/fmn-text/src/lib.rs	crates/fmn-conformance/tests/api_schema.rs	defines the oblique font slant constant
manimlib.constants:ORANGE	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the orange color constant matching the pinned palette
manimlib.constants:ORIGIN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the three-dimensional scene origin vector [0, 0, 0]
manimlib.constants:OUT	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit direction vector out of the screen [0, 0, 1]
manimlib.constants:PI	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the circular constant pi
manimlib.constants:PINK	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the pink color constant matching the pinned palette
manimlib.constants:PURE_BLUE	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the pure primary blue color constant #0000FF
manimlib.constants:PURE_GREEN	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the pure primary green color constant #00FF00
manimlib.constants:PURE_RED	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the pure primary red color constant #FF0000
manimlib.constants:PURPLE	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median purple color constant alias for PURPLE_C
manimlib.constants:PURPLE_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest purple shade matching the pinned palette
manimlib.constants:PURPLE_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium purple shade matching the pinned palette
manimlib.constants:PURPLE_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median purple shade matching the pinned palette
manimlib.constants:PURPLE_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark purple shade matching the pinned palette
manimlib.constants:PURPLE_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest purple shade matching the pinned palette
manimlib.constants:RADIANS	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit radian multiplier 1.0
manimlib.constants:RED	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median red color constant alias for RED_C
manimlib.constants:RED_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest red shade matching the pinned palette
manimlib.constants:RED_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium red shade matching the pinned palette
manimlib.constants:RED_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median red shade matching the pinned palette
manimlib.constants:RED_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark red shade matching the pinned palette
manimlib.constants:RED_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest red shade matching the pinned palette
manimlib.constants:RIGHT	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit rightward direction vector [1, 0, 0]
manimlib.constants:RIGHT_SIDE	improved	BN-07	crates/fmn-python/tests/bridge.py	resolves to the unit RIGHT direction per C-16, matching the unit-diagonal UL/UR/DL/DR convention for direction-argument use
manimlib.constants:SMALL_BUFF	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the small 0.1 spacing buffer
manimlib.constants:TAU	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the one-turn circular constant tau (2 * PI)
manimlib.constants:TEAL	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median teal color constant alias for TEAL_C
manimlib.constants:TEAL_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest teal shade matching the pinned palette
manimlib.constants:TEAL_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium teal shade matching the pinned palette
manimlib.constants:TEAL_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median teal shade matching the pinned palette
manimlib.constants:TEAL_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark teal shade matching the pinned palette
manimlib.constants:TEAL_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest teal shade matching the pinned palette
manimlib.constants:TOP	improved	BN-07	crates/fmn-python/tests/bridge.py	resolves to the unit UP direction per C-16, so to_edge and align_on_border receive a direction instead of a frame-radius-scaled marker
manimlib.constants:UL	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the up-left diagonal direction vector (UP + LEFT)
manimlib.constants:UP	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit upward direction vector [0, 1, 0]
manimlib.constants:UR	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the up-right diagonal direction vector (UP + RIGHT)
manimlib.constants:WHITE	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the white color constant matching the pinned palette
manimlib.constants:X_AXIS	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit X-axis direction vector [1, 0, 0]
manimlib.constants:YELLOW	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median yellow color constant alias for YELLOW_C
manimlib.constants:YELLOW_A	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the lightest yellow shade matching the pinned palette
manimlib.constants:YELLOW_B	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the light-medium yellow shade matching the pinned palette
manimlib.constants:YELLOW_C	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the median yellow shade matching the pinned palette
manimlib.constants:YELLOW_D	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the medium-dark yellow shade matching the pinned palette
manimlib.constants:YELLOW_E	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	resolves the darkest yellow shade matching the pinned palette
manimlib.constants:Y_AXIS	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit Y-axis direction vector [0, 1, 0]
manimlib.constants:Z_AXIS	same	crates/fmn-core/src/constants.rs	crates/fmn-core/tests/parity.rs	defines the unit Z-axis direction vector [0, 0, 1]
manimlib.event_handler.event_dispatcher:EventDispatcher	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	central event dispatcher managing listeners, mouse positions, and key states
manimlib.event_handler.event_dispatcher:EventDispatcher.__init__	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	initializes empty listener set and zeroed mouse and key tracking state
manimlib.event_handler.event_dispatcher:EventDispatcher.add_listner	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	registers an event listener
manimlib.event_handler.event_dispatcher:EventDispatcher.dispatch	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	dispatches events to registered listeners and updates tracking state
manimlib.event_handler.event_dispatcher:EventDispatcher.get_listners_count	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	returns total count of registered listeners
manimlib.event_handler.event_dispatcher:EventDispatcher.get_mouse_drag_point	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	returns current mouse drag location Point mobject
manimlib.event_handler.event_dispatcher:EventDispatcher.get_mouse_point	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	returns current mouse position Point mobject
manimlib.event_handler.event_dispatcher:EventDispatcher.is_key_pressed	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	returns true if given key symbol is currently depressed
manimlib.event_handler.event_dispatcher:EventDispatcher.remove_listner	same	scripts/manim_ref/manimlib/event_handler/event_dispatcher.py	crates/fmn-python/tests/bridge.py	unregisters an event listener
manimlib.event_handler.event_listner:EventListener	same	scripts/manim_ref/manimlib/event_handler/event_listner.py	crates/fmn-python/tests/bridge.py	pairs a mobject target, event type filter, and callback handler
manimlib.event_handler.event_listner:EventListener.__init__	same	scripts/manim_ref/manimlib/event_handler/event_listner.py	crates/fmn-python/tests/bridge.py	validates mobject type and stores callback configuration
manimlib.event_handler.event_type:EventType	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	enum of supported window, keyboard, and mouse event categories
manimlib.event_handler.event_type:EventType.KeyPressEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	key press event string constant
manimlib.event_handler.event_type:EventType.KeyReleaseEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	key release event string constant
manimlib.event_handler.event_type:EventType.MouseDragEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	mouse drag event string constant
manimlib.event_handler.event_type:EventType.MouseMotionEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	mouse motion event string constant
manimlib.event_handler.event_type:EventType.MousePressEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	mouse press event string constant
manimlib.event_handler.event_type:EventType.MouseReleaseEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	mouse release event string constant
manimlib.event_handler.event_type:EventType.MouseScrollEvent	same	scripts/manim_ref/manimlib/event_handler/event_type.py	crates/fmn-python/tests/bridge.py	mouse scroll event string constant
manimlib.event_handler:EVENT_DISPATCHER	same	scripts/manim_ref/manimlib/event_handler/__init__.py	crates/fmn-python/tests/bridge.py	global singleton EventDispatcher instance
manimlib.mobject.boolean_ops:Difference	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	computes boolean difference between vmobjects via Chisel curve-boolean pipeline
manimlib.mobject.boolean_ops:Difference.__init__	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	constructs difference between vmobjects
manimlib.mobject.boolean_ops:Exclusion	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	computes symmetric difference / XOR between vmobjects via Chisel curve-boolean pipeline
manimlib.mobject.boolean_ops:Exclusion.__init__	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	constructs exclusion between vmobjects
manimlib.mobject.boolean_ops:Intersection	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	computes boolean intersection between vmobjects via Chisel curve-boolean pipeline
manimlib.mobject.boolean_ops:Intersection.__init__	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	constructs intersection between vmobjects
manimlib.mobject.boolean_ops:Union	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	computes boolean union across vmobjects via Chisel curve-boolean pipeline
manimlib.mobject.boolean_ops:Union.__init__	same	crates/fmn-geom/src/boolean/mod.rs	crates/fmn-python/tests/bridge.py	constructs union across vmobjects
manimlib.mobject.boolean_ops:_convert_skia_path_to_vmobject	excluded	OOT-SKIAPATH-INTERNAL	crates/fmn-geom/src/boolean/mod.rs	Reference skia-pathops C extension conversion helper is replaced by Chisel's sovereign curve-boolean pipeline
manimlib.mobject.boolean_ops:_convert_vmobject_to_skia_path	excluded	OOT-SKIAPATH-INTERNAL	crates/fmn-geom/src/boolean/mod.rs	Reference skia-pathops C extension conversion helper is replaced by Chisel's sovereign curve-boolean pipeline
manimlib.mobject.boolean_ops:pathops	excluded	OOT-LEAKED-PATHOPS-IMPORT	crates/fmn-geom/src/boolean/mod.rs	third-party skia-pathops dependency is not part of manimlib's public API surface
manimlib.mobject.changing:AnimatedBoundary	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	is the authored VGroup of two stroke copies that cycle a growing and fading outline
manimlib.mobject.changing:AnimatedBoundary.__init__	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	copies the outlined VMobject twice, stores the color cycle, and registers the dt updater
manimlib.mobject.changing:AnimatedBoundary.full_family_become_partial	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	zips pointful family members and applies pointwise_become_partial over the declared alpha window
manimlib.mobject.changing:AnimatedBoundary.update_boundary_copies	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	advances the altered-rate clock and restyles the growing and fading copies through the color cycle
manimlib.mobject.changing:TracedPath	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	is the authored VMobject path grown from a traced-point callable every frame
manimlib.mobject.changing:TracedPath.__init__	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	stores the callable window and stroke config then registers update_path as a dt updater
manimlib.mobject.changing:TracedPath.update_path	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	appends the traced point, trims the finite window, and rebuilds a smooth stroke
manimlib.mobject.changing:TracingTail	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	is the finite-window tracer over a mobject center or point-returning callable with tapered stroke
manimlib.mobject.changing:TracingTail.__init__	same	scripts/manim_ref/manimlib/mobject/changing.py	crates/fmn-python/tests/bridge.py	routes a bound mobject onto the native tracer and a callable onto TracedPath's Python updater with the tail tapers
manimlib.mobject.coordinate_systems:Axes	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the authored VGroup+CoordinateSystem pair over Atlas's native two-axis builder
manimlib.mobject.coordinate_systems:Axes.__init__	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	builds live x and y NumberLine children from the two-or-three-term range surface and optional width height unit_size configs
manimlib.mobject.coordinate_systems:Axes.add_coordinate_labels	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	hangs native DecimalNumber shells on each axis through the declared values excluding list and font_size
manimlib.mobject.coordinate_systems:Axes.coords_to_point	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	sums live axis number_to_point offsets from the origin over the supplied coordinate prefix
manimlib.mobject.coordinate_systems:Axes.create_axis	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	builds the native NumberLine over the requested range and shifts its zero to the origin
manimlib.mobject.coordinate_systems:Axes.default_axis_config	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the empty shared axis-config class default merged under per-axis overrides
manimlib.mobject.coordinate_systems:Axes.default_x_axis_config	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the empty x-axis-config class default merged after the shared axis config
manimlib.mobject.coordinate_systems:Axes.default_y_axis_config	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	defaults line_to_number_direction to LEFT for y-axis number placement
manimlib.mobject.coordinate_systems:Axes.get_all_ranges	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	returns the live x_range and y_range pair
manimlib.mobject.coordinate_systems:Axes.get_axes	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	returns the identity-preserving axes VGroup of live x and y children
manimlib.mobject.coordinate_systems:Axes.point_to_coords	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	projects a point onto each live axis and maps the proportions back to numeric coordinates
manimlib.mobject.coordinate_systems:ComplexPlane	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the authored NumberPlane subclass that maps complex numbers through the 2D grid
manimlib.mobject.coordinate_systems:ComplexPlane.add_coordinate_labels	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	hangs native complex-plane labels from optional numbers skip_first and font_size onto coordinate_labels
manimlib.mobject.coordinate_systems:ComplexPlane.get_default_coordinate_values	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	returns tick values skipping the first with imaginary y entries and zeros dropped
manimlib.mobject.coordinate_systems:ComplexPlane.get_unit_size	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	reports the live x-axis unit scale over the complex grid
manimlib.mobject.coordinate_systems:ComplexPlane.n2p	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the number_to_point abbreviation over the complex grid
manimlib.mobject.coordinate_systems:ComplexPlane.number_to_point	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	maps a complex number through coords_to_point of its real and imaginary parts
manimlib.mobject.coordinate_systems:ComplexPlane.p2n	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the point_to_number abbreviation over the complex grid
manimlib.mobject.coordinate_systems:ComplexPlane.point_to_number	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	reconstructs a complex number from the live inverse coordinate pair
manimlib.mobject.coordinate_systems:CoordinateSystem	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the abstract ABC mixin owning graph sampling labels and axis projections
manimlib.mobject.coordinate_systems:CoordinateSystem.__init__	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	stores full_range_specifier x and y ranges and the graph-sampling tick density
manimlib.mobject.coordinate_systems:CoordinateSystem.angle_of_tangent	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	measures the epsilon-separated secant angle through Chisel's planar angle kernel
manimlib.mobject.coordinate_systems:CoordinateSystem.bind_graph_to_func	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	refreshes live graph points with vectorized functions, optional discontinuities, and declared smoothing
manimlib.mobject.coordinate_systems:CoordinateSystem.c2p	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	delegates the abbreviation to the concrete live coordinate transform
manimlib.mobject.coordinate_systems:CoordinateSystem.coords_to_point	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the abstract forward transform that concrete axes implement over live geometry
manimlib.mobject.coordinate_systems:CoordinateSystem.dimension	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the class default of 2 overridden to 3 on ThreeDAxes
manimlib.mobject.coordinate_systems:CoordinateSystem.get_all_ranges	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the abstract range listing that concrete axes implement
manimlib.mobject.coordinate_systems:CoordinateSystem.get_area_under_graph	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	composes the partial-copy closure polygon with zeroed stroke and declared fill
manimlib.mobject.coordinate_systems:CoordinateSystem.get_axes	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	is the abstract axes accessor that concrete classes implement without copying children
manimlib.mobject.coordinate_systems:CoordinateSystem.get_axis	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	indexes the concrete axes family without copying or retyping children
manimlib.mobject.coordinate_systems:CoordinateSystem.get_axis_label	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	places the Tex label beside the axis edge with the declared buffer and optional on-screen shift
manimlib.mobject.coordinate_systems:CoordinateSystem.get_axis_labels	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	composes the x and y label pair into the retained axis_labels group
manimlib.mobject.coordinate_systems:CoordinateSystem.get_graph	same	scripts/manim_ref/manimlib/mobject/coordinate_systems.py	crates/fmn-python/tests/bridge.py	builds the sampled function through native ParametricCurve while preserving range, style, metadata, and optional binding
